query,time
DOHOT-DEFAULT-0-dI0gvEil.net,121
DOHOT-DEFAULT-1-DVX5ukcw.net,135
DOHOT-DEFAULT-2-PEtQ2vYy.net,130
DOHOT-DEFAULT-3-M1gKH0eh.net,141
DOHOT-TWOHOPS-0-FhFCPVjl.net,295
DOHOT-TWOHOPS-1-Q9O3ZZTZ.net,95
DOHOT-TWOHOPS-2-8WmUibh4.net,78
DOHOT-TWOHOPS-3-zd3NC7Hb.net,332
DOHOT-SWEDEN-0-gHFFeyc3.net,47
DOHOT-SWEDEN-1-rHcN2r6h.net,53
DOHOT-SWEDEN-2-VV0PJ4hh.net,61
DOHOT-SWEDEN-3-YsIr4n8j.net,70
